xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk,zcj
羿启连,1105,女,91,79,84,99,94,88,65,76,85,文科,761
储丹丹,1105,女,85,83,81,88,88,86,77,88,81,文科,757
栾玲,1105,女,82,90,91,94,83,90,78,74,75,文科,757
羿国强,1105,男,89,87,82,93,95,96,66,76,72,文科,756
盛秀翠,1105,女,92,79,92,89,89,90,72,84,69,文科,756
车乙香,1105,女,89,73,82,93,90,90,60,92,85,文科,754
计媛媛,1105,女,89,61,79,90,79,96,88,82,86,文科,750
伍秀玲,1105,女,93,81,82,96,82,96,59,80,81,文科,750
巴婷婷,1105,女,90,74,75,94,95,86,66,84,81,文科,745
姜秋莲,1105,女,89,61,89,95,87,94,82,70,76,文科,743
宰雪婷,1105,女,86,82,83,92,94,81,77,74,74,文科,743
武江玉,1105,女,80,72,87,94,88,92,67,84,78,文科,742
李周媛,1105,女,75,67,83,89,75,86,58,92,77,文科,702
尚玉芳,1105,女,68,74,61,91,78,74,69,76,67,文科,658
邢任妹,1106,女,93,98,92,99,100,98,97,100,93,文科,870
邓丽凤,1106,女,94,95,91,97,98,100,95,100,99,文科,869
奚梦欢,1106,女,93,97,98,96,97,100,91,100,96,文科,868
解杰,1106,女,93,95,95,98,100,98,94,96,92,文科,861
巫亚文,1106,男,91,95,93,94,97,98,95,100,95,文科,858
冯艳琼,1106,女,94,92,95,98,100,98,82,98,97,文科,854
解和英,1106,女,92,93,96,97,96,98,97,92,91,文科,852
傅颖慧,1106,女,93,95,97,91,99,98,86,100,92,文科,851
廉慧敏,1106,女,95,96,99,92,96,96,89,96,90,文科,849
麴新秀,1106,女,94,97,93,99,94,96,80,98,97,文科,848
别丽芬,1106,女,90,92,97,97,97,92,91,98,94,文科,848
吴维维,1106,女,93,98,96,96,97,98,77,100,93,文科,848
寿毓芳,1106,女,91,98,94,97,94,95,92,96,91,文科,848
于胜龙,1106,男,86,89,91,92,100,98,95,100,93,文科,844
殷婷,1106,女,92,92,91,98,98,98,93,96,84,文科,842
冯水玲,1106,女,93,95,94,97,97,98,86,90,91,文科,841
管珍伶,1106,女,93,95,94,94,94,98,88,92,91,文科,839
陈冬英,1106,女,95,94,91,97,92,91,91,96,90,文科,837
包江平,1106,女,89,94,95,96,98,96,76,98,94,文科,836
霍冬梅,1106,女,93,94,92,92,95,94,86,98,92,文科,836
卫春香,1106,女,92,87,92,97,92,98,89,100,86,文科,833
充军友,1106,男,87,97,90,95,98,90,85,98,92,文科,832
毛芳玲,1106,女,93,95,93,97,95,96,78,92,92,文科,831
历家瑞,1106,男,87,90,96,96,97,96,96,82,91,文科,831
